season,sentiment,speaker
1,-0.076974286,Roy
1,-0.021911765,Darryl
1,0.024781818,Phyllis
1,0.03820625,Angela
1,0.038496667,Kevin
1,0.039548148,Stanley
1,0.098099543,Pam
1,0.106134783,Toby
1,0.11718681,Dwight
1,0.155773684,Jan
1,0.173322105,Jim
1,0.174743103,Oscar
1,0.1806,Kelly
1,0.195811538,Ryan
1,0.198553738,Michael
1,0.223105556,Meredith
2,0.037470149,Phyllis
2,0.056123377,Creed
2,0.056984615,Oscar
2,0.066682895,Darryl
2,0.066973148,Stanley
2,0.070181529,Kevin
2,0.073200617,Angela
2,0.077823789,Ryan
2,0.084560323,Dwight
2,0.098425676,Toby
2,0.114983158,Jan
2,0.116984362,Pam
2,0.13105566,Roy
2,0.154222935,Michael
2,0.1615,Kelly
2,0.170668293,Meredith
2,0.171351271,Jim
2,0.39555,David
3,0.01913617,Stanley
3,0.046318056,Oscar
3,0.071729218,Angela
3,0.073225666,Dwight
3,0.082730357,Phyllis
3,0.083116667,Meredith
3,0.093576056,Creed
3,0.095768182,Kelly
3,0.103820812,Ryan
3,0.104356818,Darryl
3,0.106780328,Toby
3,0.117518263,Jim
3,0.118867453,Kevin
3,0.126305369,Jan
3,0.137337744,Pam
3,0.142313555,Andy
3,0.145276451,Karen
3,0.154772147,Michael
3,0.164290625,David
3,0.16548764,Roy
4,-0.20345,David Wallace
4,-0.020088889,Stanley
4,-0.000777202,Angela
4,0.022816418,Creed
4,0.042008081,Phyllis
4,0.05291426,Dwight
4,0.063756452,Meredith
4,0.068286525,Kevin
4,0.074340678,Darryl
4,0.093616842,Kelly
4,0.098524299,Jan
4,0.119563447,Pam
4,0.129624324,Oscar
4,0.132269444,Jim
4,0.158116667,Toby
4,0.162816963,Michael
4,0.164779386,Ryan
4,0.170302242,Andy
4,0.195033333,David
4,0.249526027,Holly
4,0.262608,Karen
5,-0.032990385,Creed
5,-0.026462609,Meredith
5,0.00940708,Stanley
5,0.036446606,Angela
5,0.053530819,Dwight
5,0.056532353,Darryl
5,0.057186207,David Wallace
5,0.058084507,Toby
5,0.081564074,Holly
5,0.081598718,Kelly
5,0.08464213,Oscar
5,0.086280749,Kevin
5,0.095983889,Phyllis
5,0.097486364,Karen
5,0.107756805,Ryan
5,0.109498793,Andy
5,0.113720114,Jim
5,0.114242986,Charles
5,0.11553017,Pam
5,0.138655617,Michael
5,0.171109434,Erin
5,0.198929921,David
5,0.24235,Roy
5,0.244314062,Jan
5,0.33152,Pete
6,-0.106388889,David Wallace
6,-0.013483333,Stanley
6,0.002213415,Meredith
6,0.031559559,Angela
6,0.04330565,Oscar
6,0.052645833,Kelly
6,0.061452632,Creed
6,0.071345746,Dwight
6,0.073079762,Darryl
6,0.0743808,Ryan
6,0.101923913,Phyllis
6,0.103869547,Pam
6,0.119070614,Kevin
6,0.123626677,Michael
6,0.12911347,Jim
6,0.130026952,Andy
6,0.131472148,Erin
6,0.144167257,David
6,0.144266667,Pete
6,0.154837226,Jo
6,0.166553488,Gabe
6,0.172564,Toby
6,0.454261538,Clark
7,0.010891667,David
7,0.037670667,Stanley
7,0.040038571,Meredith
7,0.051038596,Jo
7,0.057973196,Toby
7,0.06590566,Holly
7,0.070432298,Angela
7,0.088879943,Dwight
7,0.089582353,Jan
7,0.097162555,Darryl
7,0.098862437,Oscar
7,0.102673203,Kelly
7,0.106147162,Jim
7,0.114633333,Nellie
7,0.114726688,Erin
7,0.1163,Kevin
7,0.116978673,Gabe
7,0.12595098,Pam
7,0.136066167,Michael
7,0.136657451,Andy
7,0.146819728,Phyllis
7,0.159753977,Ryan
7,0.168682353,Robert
7,0.1687,Deangelo
7,0.210363636,Creed
7,0.3612,Karen
8,-0.005425301,Meredith
8,0.058722642,Toby
8,0.065107229,Angela
8,0.07318022,Stanley
8,0.074998785,Kevin
8,0.082022128,Oscar
8,0.082445455,Creed
8,0.085059831,Dwight
8,0.095750962,Darryl
8,0.095843902,Kelly
8,0.098778689,Erin
8,0.101845923,Nellie
8,0.120098374,Phyllis
8,0.127780423,Ryan
8,0.135551485,Robert
8,0.138138737,Pam
8,0.139726122,Jim
8,0.148907911,Andy
8,0.176698319,Gabe
8,0.198723077,David
9,0.001181,Stanley
9,0.032309091,Jan
9,0.0460352,Toby
9,0.060738058,Angela
9,0.065898425,Phyllis
9,0.066075,Ryan
9,0.073768367,Oscar
9,0.084662281,Meredith
9,0.090045,Gabe
9,0.093459896,Pete
9,0.106586053,Erin
9,0.11654812,Kevin
9,0.122724042,Nellie
9,0.124701123,Dwight
9,0.128656,David
9,0.131416797,Andy
9,0.134516547,Darryl
9,0.150494231,Creed
9,0.1546417,Clark
9,0.158692231,Jim
9,0.164377273,David Wallace
9,0.17240585,Pam
9,0.2323,Kelly
9,0.27115,Michael
9,0.281455556,Robert
9,0.308645455,Roy
all,-0.022068852,David Wallace
all,0.023724912,Stanley
all,0.049626959,Angela
all,0.070630369,Meredith
all,0.075612312,Darryl
all,0.079746082,Phyllis
all,0.080535177,Creed
all,0.083489391,Dwight
all,0.087807868,Oscar
all,0.089892271,Kevin
all,0.095870777,Toby
all,0.102937911,Jo
all,0.113067766,Nellie
all,0.114242986,Charles
all,0.119775837,Ryan
all,0.12183852,Kelly
all,0.123113145,Jan
all,0.124534602,Erin
all,0.125320042,Pam
all,0.132331921,Holly
all,0.13756887,Gabe
all,0.137984465,Jim
all,0.138446243,Andy
all,0.154112894,Roy
all,0.16748303,Michael
all,0.1687,Deangelo
all,0.179530235,David
all,0.189748854,Pete
all,0.195229798,Robert
all,0.216642704,Karen
all,0.304451619,Clark